Match No,Date,Venue,1st Team,1st Team Run,2nd Team,2nd Team Run,Result
Match 70,"Sunday 22 MAY, 2022",Wankhede Stadium,Sunrisers Hyderabad ,157/8 ,Punjab Kings,160/5,Punjab Kings Won by 5  Wickets 
Match 69,"Saturday 21 MAY, 2022",Wankhede Stadium,Mumbai Indians ,160/5 ,Delhi Capitals,159/7,Mumbai Indians Won by 5  Wickets 
Match 68,"Friday 20 MAY, 2022",Brabourne - CCI,Rajasthan Royals ,151/5 ,Chennai Super Kings,150/6,Rajasthan Royals Won by 5  Wickets 
Match 67,"Thursday 19 MAY, 2022",Wankhede Stadium,Royal Challengers Bangalore ,170/2 ,Gujarat Titans,168/5,Royal Challengers Bangalore Won by 8  Wickets 
Match 66,"Wednesday 18 MAY, 2022",DY Patil Stadium,Kolkata Knight Riders ,208/8 ,Lucknow Super Giants,210/0,Lucknow Super Giants Won by 2 Runs 
Match 65,"Tuesday 17 MAY, 2022",Wankhede Stadium,Mumbai Indians ,190/7 ,Sunrisers Hyderabad,193/6,Sunrisers Hyderabad Won by 3  Runs 
Match 64,"Monday 16 MAY, 2022",DY Patil Stadium,Punjab Kings ,142/9 ,Delhi Capitals,159/7,Delhi Capitals Won by 17  Runs 
Match 63,"Sunday 15 MAY, 2022",Brabourne - CCI,Lucknow Super Giants ,154/8 ,Rajasthan Royals,178/6,Rajasthan Royals Won by 24  Runs 
Match 62,"Sunday 15 MAY, 2022",Wankhede Stadium,Chennai Super Kings ,133/5 ,Gujarat Titans,137/3,Gujarat Titans Won by 7  Wickets 
Match 61,"Saturday 14 MAY, 2022",Maharashtra Cricket Association Stadium,Kolkata Knight Riders ,177/6 ,Sunrisers Hyderabad,123/8,Kolkata Knight Riders Won by 54 Runs 
Match 60,"Friday 13 MAY, 2022",Brabourne - CCI,Royal Challengers Bangalore ,155/9 ,Punjab Kings,209/9,Punjab Kings Won by 54  Runs 
Match 59,"Thursday 12 MAY, 2022",Wankhede Stadium,Chennai Super Kings ,97 ,Mumbai Indians,103/5,Mumbai Indians Won by 5  Wickets 
Match 58,"Wednesday 11 MAY, 2022",DY Patil Stadium,Rajasthan Royals ,160/6 ,Delhi Capitals,161/2,Delhi Capitals Won by 8 Wickets 
Match 57,"Tuesday 10 MAY, 2022",Maharashtra Cricket Association Stadium,Lucknow Super Giants ,82 ,Gujarat Titans,144/4,Gujarat Titans Won by 62  Runs 
Match 56,"Monday 9 MAY, 2022",DY Patil Stadium,Mumbai Indians ,113 ,Kolkata Knight Riders,165/9,Kolkata Knight Riders Won by 52  Runs 
Match 55,"Sunday 8 MAY, 2022",DY Patil Stadium,Chennai Super Kings ,208/6 ,Delhi Capitals,117,Chennai Super Kings Won by 91  Runs 
Match 54,"Sunday 8 MAY, 2022",Wankhede Stadium,Sunrisers Hyderabad ,125 ,Royal Challengers Bangalore,192/3,Royal Challengers Bangalore Won by 67  Runs 
Match 53,"Saturday 7 MAY, 2022",Maharashtra Cricket Association Stadium,Lucknow Super Giants ,176/7 ,Kolkata Knight Riders,101,Lucknow Super Giants Won by 75  Runs 
